key,value
title,Ayush | FullStack Web Developer | Software Developer Portfolio
marquee_items,"Software Developer, Full Stack Web Developer, Backend Laravel Developer, Backend Developer"
credentials_label,MORE ABOUT ME
credentials_title,Credentials
projects_label,SHOWCASE
projects_title,Projects
github_label,CODE SPEAKS LOUDER
github_title,GitHub
github_url,https://github.com/ayush-sleeping
services_label,SPECIALIZATION
services_title,Services Offering
profiles_label,STAY WITH ME
profiles_title,Profiles
cta_title,Let's Work Together.
